text,topic,sentiment
Oooooh so apparently Balon D’or 2020 was cancelled due to covid and the current ranking was based on this year. No wonder Lewandowski didn’t win it this year,s,n
"Texas health experts ‘not panicking’ over COVID’s omicron variant, expect cases to appear soon | Houston Public Media https://t.co/gX2KmfggHs",ac,/
"Why do people keep comparing having/not having the vaccine with fucking peado’s what a weird, weird fucking way of looking at it. https://t.co/BSnq791TXQ",v,/
"Stop using emotionally fueled stories to get people to “consider” getting the vaccine.

If it’s “my right to not get it” then it seems pretty weird that you’re using this story to get people to consider getting it.

Can’t stand emotionally manipulated BS. Reeks of liberalism. https://t.co/VmQc6GJAeD",v,n
"My cousin, that just had a baby like a month ago, had to be hospitalized because of Covid. It's insane, I just hope everything went well for her and she can go home tomorrow ; _ ;",cs,n
"This week's County newsletter features financial resources to help individuals and local businesses recover from the pandemic, how we're using American Rescue Plan Act funds to reduce food insecurity, a #COVID19 data update, vaccine events, and more: https://t.co/pFqanoEAf1 https://t.co/NEyYFFsOZX",s,p
"I told my oldest that I had contact info for his friends and wouldn't hesitate to contact them to ask them to put pressure on him to get a covid test. That's reasonable, right?",v,p
Pandemic of vaccinated.  Wake every sheep up you know. Save humanity,v,n
woke up just to say im getting my first dose of the vaccine on the 1st https://t.co/2wDFW7Krnu,v,p
"""The PM attended a sod turning event through a back entrance, avoiding protestors who are now yelling ""liar, liar pants on fire"" to Ardern"" https://t.co/6y179tBsGY",m,n
"fact Trump torches Biden admin over COVID, inflation, the border, Afghanistan, and other crises",m,/
"It is important that those living with HIV continue to get the treatment and medicines that they need especially during this time of the pandemic.

READ MORE:
https://t.co/c53029RJkt

#DailyTribune https://t.co/9TU5LPvdVx",s,/
Omicron COVID variant: What we know https://t.co/QHsqsUcsEP via @flipboard,ac,/
"the lady at the vaccine clinic asked my age, acted surprised that im 24 and told me i looked like im 10....😔",v,p
"Federal Judge Blocks Biden Vaccine Mandate in 10 States

.
Via ⁦@WestJournalism⁩  https://t.co/WM48aYnSME",m,n
Health departments prepared for increase in demand for COVID tests post-Thanksgiving https://t.co/7v6Dq31S8i,m,/
"Effective today, all participants in aquatic centre activities ages 12 and over are required show Proof of Vaccination. Participants in youth sports or child/youth programs are exempt. https://t.co/TgvHFZabYS https://t.co/yPgn0DjnuU",m,/
"Digital vaccine passport may arrive in Massachusetts, multiple other states, Gov. Charlie Baker says https://t.co/eIGZ69tDef",m,/
Spider-Man Homeopathic COVID treatment https://t.co/7pqgpYceXc,ac,/
"Scientists mystified, wary, as Africa avoids COVID disaster https://t.co/FNJYnZipz0",ac,n
"Last night I had a dream that I was in some large vehicle that got buried in an avalanche. Death seemed inevitable &amp; I remember thinking “oh well, guess this is it.” Today my son’s school announced they are going virtual for 10 days due to Covid. So that’s how things are going.",ac,n
Do not give any info to anyone about where you've been off u r diagnosed with any covid. Even the fake ones. https://t.co/NuyAj1psJt,ac,n
Covid Booster is booked!!! https://t.co/RwkRoNwmkh,v,p
"TASMANIA VACCINE ROLLOUT

16+ one dose: 93.75%
16+ two dose: 86.96%

12-15 one dose: 72.45%
12-15 two dose: 59.20%

The state’s border will reopen on December 15. #covid19tas",v,/
Me and Anthony just tested positive for Covid 🥲,ac,n
Labor shortages are just one of the ways the pandemic is fundamentally reshaping the U.S. workforce. Here's Wealth Management Chief Investment Officer Lisa Shalett’s perspective on what it could mean for investors. https://t.co/KXGX9yXVM6,s,n
The republicans are no longer in power! You were part of the very sad failure by the trump bafoons that failed to control Covid!  Shame on you you are nothing but a P.O.S. And traitor! https://t.co/leBgZCOG9j,m,n
"from jotting yr name and telephone number down with the same pen , to oaps asking me if i've got my vaccination certificate in maccas. that's what this latest state of emergency is telling me. the transition of australia from sodding bull shit to UTTER bull shit",m,n
"Petrified Covid cuties. In the work fridge since March, 2020. That one on the right is pretty artsy. https://t.co/h2TOtRTBab",ac,/
I would rather drag my coochie across the concrete like a slug then get the vaccine https://t.co/820eWbNdaJ https://t.co/Ob7GKX8PI8,v,n
"World Health Organisation whistleblower, Dr. Astrid Stuckelberger, states that world governments will continue manipulating people's fear to elongate the coronavirus pandemic for years to come. ""Every flu is going to be transformed into a drama drumming.""
https://t.co/MT1dLPMLvD",m,n
Cramer with more bad takes on covid. Can’t believe and educated person still repeats false death totals.,ac,n
"The Daily answers questions about the booster shot, which the CDC now recommends for all individuals ages 18 and older. https://t.co/eWJlRJ2v2u",v,/
"And they’re playing the saints? It’s slow🤣 RT @AroundTheNFL: Cowboys DC Dan Quinn to handle head coaching duties vs. Saints with Mike McCarthy (COVID-19) out

https://t.co/PmYs7QBG45 https://t.co/JVrXq3FYcd",s,/
"I remain mystified by those taking seriously anything people say about this Botswanan variant. But news in the markets along w/ housing news, Fed news, policy news, economic news, and yes COVID news (and non-news) make this a DC Today not to be missed.  https://t.co/5xZafO2MgM",ac,n
And another federal court rules against another Biden vaccine mandate - this time for health-care workers https://t.co/3xQKHH30xZ,m,n
"Damn, there is this fucking terrifying commercial for shingles vaccine on MSNBC right now. I seriously think there needs to be a social movement to stop drug companies from constantly fucking terrifying those of us who are aging.",m,n
"#Covid
#Climate
#PedoFiles
#TheyAreAllConnected

Who do you stand with?

#LiberalismIsAMentalDisease
They created the disease
They tax you into poverty
They intoxicate &amp; traffic your kids

They want you to stay asleep
Please…..
#WakeUp",v,n
Exiting session on cardiac implication of COVID-19 at #RSNA21! Great job @Livifix! @RadiologyACR @RSNA https://t.co/4I9rsRP7uU,v,n
"As we push for global vaccine access to prevent future variants from developing, it's important that everyone 18 or over and those vaccinated before June 1 get a booster shot.

It's the best way to keep yourself and your loved ones safe.",v,p
"LONDON (AP)The emergence of the new omicron variant and the world's desperate and likely futile attempts to keep it at bay are reminders of what scientists have warned for months: The coronavirus will thrive as long as vast parts of the world lack vaccines
https://t.co/2SjBcp3SpF",v,p
prof just sneezed and softly said its not covid,ac,/
"Labour shortage: Is Santa Claus coming to town this year? - https://t.co/HCH3VrFdV9{
With less Santas donning their suits and more demand for holiday cheer, Santa will be in short supply. The pandemic took its toll on the industry as many Santas are older, heavier men. The co...",s,/
VACCINE DAY NAAAAAAA,v,p
"Delhi Air Pollution: SC raps NCR govts over rising AQI amid COVID-19, questions Centre over Central Vista project. #DelhiAirPollution https://t.co/Q7axPCMxx9",s,n
This has been a nonpartisan issue for the entire pandemic. You can't be an impartial/legitimate journalist while helping a close relative diminish a breaking news scandal. Incredibly unethical and regardless of where you stand politics-wise you should agree here. #CNN #Cuomo https://t.co/U1CttV3oGj,ac,n
Minnesota labs screening for omicron variant as COVID wave persists https://t.co/ss6HUc8VHN,cs,/
"I dont understand? How can this idiot say this when o1st, Vaccine mandates are completely unconstitutional!
o2nd, its not even a vaccine, it is gene-therapy that they are calling a vaccine.
o3rd, they are experimental, they dont know the long term effects which may be death! https://t.co/SSDDGOahFi",m,n
.@POTUS @BorisJohnson @JustinTrudeau @RegSprecher @Palazzo_Chigi @EmmanuelMacron @JPN_PMO @pfizer @moderna_tx @BioNTech_Group @AstraZeneca: We can’t vaccinate the 🌍 unless countries and companies come clean on vaccine data. We need transparency now! https://t.co/vQFkYk7O7G,m,n
"I am not afraid. I am in good health and have a 99.99% chance of complete recovery. I’m more likely to have a car accident or get struck by lightening than I am to die of covid. But if I do, don’t let them use my name to vote for Demon-rats. https://t.co/znH6jNhYp9",v,p
"$NVAX Merck/Pfizer Pill's benefit may not be fully realized, since it needs to be taken within 3 days after infection. You have to undergo Covid testing, then you have to wait in line, and the results of the test could come in ""a week"".
https://t.co/oEKV5Q2TC2",v,n
"And pigs might fly

https://t.co/Cz2mnJHDIO",m,n
Vaccine may not be as effective but it is important to get as many jabs in arms as possible! What is the point  of having it then???? Makes no sense!! https://t.co/cUqMEDL0n9,v,n
"Americans be like
*turns down the vaccine*
*hordes stockpiles from the globe*

Biden: there's a new variant get your booster

pharmacy: there's no appointments sorry",m,n
Andrews Pandemic Bill to Pass #HeiseSays #Realpolitik [5:38] https://t.co/kUoI3icAOi,m,p
GMB’s Alex Beresford is bedridden with Covid as he suffers from ‘really bad’ symptoms https://t.co/8yOCvUJNsR,cs,n
TJ Watt has been moved to Covid IR,cs,n
Blessing in disguise: Omicron variant may be ‘very positive’ news for the world if new Covid mutation kills off more lethal Delta coronavirus https://t.co/r8SZLNtHFI,ac,p
Covid-19: McDonald's requires vaccine pass to dine-in under traffic light system https://t.co/aQ6SzbBbnW,m,/
"One thing Covid-19 has taught us is that we are self sufficient
in crime, poverty, and illiteracy. Other than that we rely on
another country for most everything.",s,n
“Hopefully unlikely” and “needed” just go to show how damn clueless you are sleepy joe. If the vaccine worked a booster wouldn’t be necessary. Now your friend ass hat fauci says everyone needs a booster. Now another booster for a made up variant?! When does it end? https://t.co/PsC7x1423j,v,p
I will never get over influential people going on TV and asserting that the overlooked weapon against COVID is getting COVID.,ac,n
the funniest thing about covid skeptics is that they think the government created and successfully spread a mass conspiracy. dude the government can't even open a pdf,ac,n
Word of the Year 2021: Vaccine,ac,/
This lady is trying to convince me that she can smell the COVID in her dogs 💩 #IHateItHere,ac,n
All NDSU employees required to get coronavirus vaccine https://t.co/fhsYtNP39I,m,/
Covid got me turning down ugly Christmas sweater parties like i fucking love ugly Christmas sweater parties fam😩😔,ac,n
"You know I was half joking half serious, imagining someone  with a gallon jug of spoiled milk actually thinking about it... wondering was this a Joe Rogan moment "" I'll do anything to not get take the vaccine...""
Offended...? Amazed...? Not sure still ... https://t.co/Lq5304cEI1",v,p
"Distribution of COVID relief checks.
Infrastructure investments.
Afghanistan withdrawal.

These were cornerstones in what amounted to any Trump “agenda”. Funny how the media amplifies MAGA “Brandon” bullshit without first noting the hypocrisy.",m,n
I swear every nigga in Houston done became a scammer since Covid hit gah damn😂😂,s,n
SO thrilled to have won this award!!! This story helped other governments push back on Pfizer’s asset-seizing clauses in their own vaccine negotiations so I’m really proud to have written it. Thanks to @TBIJ @statnews and @Ojo_Publico for publishing it. https://t.co/vPUFY6fFtd,v,p
"One of the most fascinating parts about the pandemic discussion is that there was a disagreement between two medical experts: the one not standing for parliament was accused of being partisan by people who considered the other one, who was standing for parliament, impartial.",m,n
Victories against AIDS have lessons for COVID-19 https://t.co/StCxAQqqUB,ac,/
"New post (Covid live news: UK extends booster vaccinations; Spain, Sweden and Canada report Omicron cases) published on https://t.co/RaBjl5DDcP - https://t.co/2opWyrU3wZ",v,p
"While the pandemic has kept travellers away, #AucklandAirport has been busy preparing for their return. We've almost completed a $160 million upgrade of our roads, helping to improve journeys to and from the airport. We can't wait to welcome you back!#WeareAucklandAirport #AKL4NZ https://t.co/DOj4JEsE2j",s,p
"Just remember those who claimed Covid was a hoax, didn’t exist then claimed it was the vaccinated that were spreading what they also previously claimed didn’t exist 🤔",v,p
"""“Why are the enforcement people harassing doctors who are trying to save the lives of those down with Covid-19?""

Is there a law against prescribing Ivermectin?

https://t.co/ipMSkYnGSM",ac,n
Victoria records 918 new COVID-19 cases and six more deaths overnight.,cs,n
She actually slips and tryed to cover up. This is a vaccine of horror's.Check out Rebecca's video! #TikTok https://t.co/nuavGlDp0r,v,n
All vaccinated adults should get their COVID booster to protect against the new Omicron variant. https://t.co/tN1sWhhqs5,v,p
"The AG &amp; I went to the same law school. Over the past 20+ years, our alma mater, @SLULAW has consistently been ranked as the top health law program in the U.S.

Vaccines work — &amp; vaccine requirements have been upheld by SCOTUS for more than a century.

The man knows better. https://t.co/GzEGLOrshh",v,p
White House Quietly Delays Vaccine Mandate As Another Federal Judge Objects https://t.co/FfWN5O6qBi,m,n
"https://t.co/giTJAUJoAA

Biden you are ""over-ruled""",m,n
So guess what getting vaccinated for COVID got you? It sure as fuck wasn’t freedom. It got you in line for endless boosters. https://t.co/aE2kGHch7c,v,n
"The New variant Omicron have very similar symptoms like vaccines side effects.  Hm hm  hm 😉

People still looking for their 67th booster LOL 😂

#vaccine #Omicron #OmicronVariant #Covid #COVID19 #malaysia #Covid_19 #corona #coronavirus #nyc #uk https://t.co/U79Z6BrfyD",v,n
*whispers* GrandFAMs I need y’all to start complaining about the heat in CLA. I can feel the Covid Omicron spreading https://t.co/hQfqfGsTEi,ac,n
Vaccine passport launched overnight for double vaccinated NSW residents #englishheadline #Vaccine #passport #launched #overnight #double #vaccinated #NSW #residents https://t.co/94x3fZHQ8a,v,/
Pfizer CEO: We’re working on vaccine for Omicron; our pill will also be effective https://t.co/UMPFua4qSs,v,p
I have some flight points I need to use by March 2022 and I don’t know where in the world I would fly to. Covid has had me off planes since 2020… I forgot I traveled for a new job in 2020 right before everything hit the fan…,cs,n
not everybody could can afford the luxury to stay at home during the peak of the pandemic and live on the bare minimum check the government was giving them pls https://t.co/qRuLqoEkTt,s,n
"Researchers Review COVID Database, Make a Huge Discovery When They Exclude Vaccinated People via @WestJournalism https://t.co/SpW6UIF143",v,/
https://t.co/U5yC7bCB8L penalties mulled for those resisting compulsory vaccination in Austria – reports https://t.co/4mQrALlOpE,m,/
CDC now says all adults should get COVID booster shots amid Omicron fears https://t.co/NmYVwUG9sz via @nypmetro,v,p
"Work issued a vaccine mandated. It's required. No testing option; they will permit medical and religious exemptions. Better late than never! To be clear, we've been working from home since March 2020.",v,p
How the Catholic Priest can sit there &amp; preach about do you agree your body is a temple of God &amp; not to put anything in it like vaccines. You took childhood vaccines to prevent illnesses. So the most important vaccine in your life Covid-19 and suddenly you refuse it? Hypocrites! https://t.co/9D7CW7C1B8,v,p
Since Covid is going to be bad in January &amp; February hopefully I can get the car I’ve been wanting for the right price.,ac,n
Flashback 2016: Fauci's Cohort Peter Daszak Explains How Scientists Can Perfectly Create a Coronavirus in China Lab That Can Lead to Global Pandemic https://t.co/KZRvhnc4fw,ac,/
B.C. COVID-19 pandemic update https://t.co/DyA9q4sCk7,cs,/
Oh fuck that third vaccine is kicking in https://t.co/LLLGKiJo7t,v,p
What #Omicron tells us more than anything else is that we need to get equitable #vaccine coverage in all countries asap.,v,p
Growth in 7D US Confirmed Covid Cases by County For WI   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/zPRzSEBrAm,cs,n
They don’t have those numbers because they aren’t being paid to push the Flu Jab just the Covid Jab https://t.co/pBQ4eEHjJb,v,n
"The Omicron Covid variant is no excuse for new lockdowns or vaccine mandates, as New York Gov. Kathy Hochul’s damage to hospitals shows. https://t.co/YHkvpxBceT",m,n
Labor shortages are just one of the ways the pandemic is fundamentally reshaping the U.S. workforce. Here's Wealth Management Chief Investment Officer Lisa Shalett’s perspective on what it could mean for investors. https://t.co/ZVdHMWPnG5,s,n
"Peter Daszak Reveals How Covid Was Created In A Lab In China

https://t.co/R3q360GvKv",ac,n
CDC Says All 18-Plus ‘Should’ Get COVID-19 Boosters Due To Omicron https://t.co/gpFpWw3QwO,v,p
Parents to be asked to reduce children’s activities to curb Covid-19 spread https://t.co/h0etG0AH0T,s,n
FDA To Advisers: Should Certain Patients Not Get Merck’s COVID-19 Pill? https://t.co/Lui8nzUiJu,v,/
Northern Health sees 134 new COVID-19 cases and three deaths over weekend https://t.co/QoAoMgmtYg #cityofpg https://t.co/ivxnQvVcz9,cs,n
"Collierville Covid Dash 11-29-2021

I don't want to be back in the swing of things. I enjoyed the break too much. https://t.co/FaiqR9zspD",ac,p
Re: Coronavirus (COVID-19) Updates https://t.co/uIoQ6g0wv3,cs,/
"Beltway Insider: Biden, Putin/China, COVID/Vaccine Totals, Strickland/Arbery, Steven Sondheim https://t.co/R2l7YLuq2b",ac,/
Judge Blocks CMS Vaccine Mandate for Healthcare Workers in 10 States | https://t.co/PHcRJbPPmc https://t.co/Pb25L3fNOE,m,n
"That's some BS
The vaccine mandate requires healthcare workers across the country to receive the first dose of the COVID-19 vaccine before Dec. 6.
https://t.co/6B4NjZca7D",m,n
"COVID STRIKES BACK.

Actually, I’m pretty sure this isn’t covid but I’m sick — again.

It’s been 3+ weeks since I left the covid bubble. My recovery was going well until I woke up yesterday with a sore throat.",ac,n
hopefully covid kills me I’m tired of paying bills,ac,n
"📢 @ABC summary of Minister @GregHuntMP press conference: Government says Omicron COVID variant appears 'manageable', border pause only temporary.

Health authorities say they are seeking information about whether vaccines protect against Omicron.
https://t.co/X7bhcOIBd0",ac,p
Covid latest: Booster rollout expanding to tackle Omicron and save Christmas | UK | News https://t.co/9oHWdilufC,v,p
"You bet we covered the A’s and Howard Terminal, Covid, and redistricting supervisorial seats. Take a listen to hear the #1 feedback Tri-Valley residents have shared during redistricting. It’s not surprising, but it’s not what you might be seeing in the draft maps — yet. https://t.co/p9eTDxOvmq",s,/
Can I just get 90 50mg Oxycontin's instead? Probably lower overall risk to myself and I wouldn't be in so much pain from my 3rd Moderna shot. Just an option. https://t.co/2AbqPa6Ka0,v,n
Bill Gates Charged with Murder for COVID-19 Vaccine Death in India’s High Court – Death Penalty Sought https://t.co/0o2ZM8nlGv,m,n
Cheyenne Regional Medical Center says it will be modifying its vaccine policy for staff in the coming days. https://t.co/4K6Fa4HvSd,m,/
"-Almost 800K dead from a pandemic

-Still in need of Social Justice reform

-Basic healthcare for those who can’t afford

Democrats in Congress: https://t.co/V0ZQgUVMe5",s,n
"Advertising a Covid testing machine on Twitter

Think about this for a second

Does this make anyone else feel like the Covid business bonanza is nearing its end? https://t.co/Mcijj3hHch",ac,n
"Column: A message from the omicron variant: ‘I promise I won’t hurt you. Let’s go, Brandon!’ https://t.co/xqdVNgpKK8",ac,n
What stage of the pandemic is this https://t.co/WKtkKP93ZX,ac,n
U.S. CDC says all adults should get COVID-19 booster shots #SmartNews  https://t.co/hGNs2aSGUw,v,p
"Who agrees Vaccine EQUITY 💉💉💉 now?

We've come to a point our leaders are soft w/ anti vaxxers almost a year of having vaccines

Instead of spoiling millions give them to poor countries

The pattern is quite apparent. No denial we're being failed but at least give them away",m,n
"If you stand as deceived with regard to the Covid-19 agenda, there is little to no reason whatsoever to believe that you will not be deceived under the Antichrist and his rule.

Hate me, unfollow me, etc.

I said it and I mean it. I pray you’ll begin to have your eyes opened.",ac,n
CodeMonkeyZ ¦ Boosters every three months? What could go wrong?Why not make it a daily vaccine? Surely you want virus protection every... https://t.co/yqlV8vNDqL https://t.co/KCxU3A7v9M,v,n
Will the vaccines protect against the new omicron variant? Your COVID-19 questions answered. https://t.co/ApStuTdVEf,v,/
"https://t.co/4m99taDe63

Think carefully about what is happening. #StaySafe #Resist #Resistance https://t.co/YXanT9Irc3",ac,n
"If unvaccinated employees present a financial risk to their employer (healthcare costs, lost productivity), should they be expected to pay a higher portion of the insurance and benefits premiums?
.
.
.
#covid #healthcare #benefits #employeebenefits #vaccine
#yeg https://t.co/XBhTILl2Ub",m,/
"QUEENSLAND
COVID-19 (STATS)
30-11-2021
==========
.
.
#covid19qld #covid19 #covid19aus #covid
#coronavirus #brisbane #queensland https://t.co/10L69uwNdJ",cs,/
Crazy I haven’t gotten vaxxed and I still never got Covid… must be built different. And if I do get Covid and die… I’ll be flipping all you mofos off with a ventilator down my throat dyin,v,n
"#BREAKING: Queensland’s vaccine mandate is expanding - people who work in schools, early childhood centres, prisons and airports must have at least one dose by December 17. | @10NewsFirstQLD",m,/
Omicron: Are gov’ts prepared to deal with a new COVID variant? | Coronavirus pandemic | Al Jazeera https://t.co/0U5vHcZim3,m,/
COVID-struck Czech President appoints new Prime Minister from inside a glass box https://t.co/LNWFxT6QCL via @CTVNews,cs,/
Some Hospitals Prepare to Lose Staff Over Covid-19 Vaccination Mandate https://t.co/XhdwwKcm2x via WSJ #news #WSJ,m,n
"We're in the ""my creative writing students are writing dystopian stories about living in a futuristic perpetual plague"" stage of the pandemic. 😞😭",ac,n
"More migrants arrives at the boarder as new Covid-19 Omicron variant spread.

Close the damn boarders!",m,n
"Another day, another COVID variant🥴",ac,n
#News #Canada #Toronto Toronto organizes mass COVID-19 vaccination clinic for children at Scotiabank Arena https://t.co/9rd6QkLxTH,v,p
Moderna CEO: Could take weeks for more clarity on omicron Covid variant https://t.co/hYaZrvBNEF,ac,n
"Dr. Bonnie Henry says over three million American children have received the vaccine with ""no safety signals."" https://t.co/vNcZsgKFee",v,n
"Researchers Review COVID Database, Make a Huge Discovery When They Exclude Vaccinated People via @WestJournalism https://t.co/6rouVdymQa ///SATANS WORSHIPERS THINK THEY ARE BETTER THEN GOD,,SO THEY PUSH THEIR SHOT, INSTEAD OF TRUSTING IN HUMAN IMMUNITY,,THEY GET MONEY FOR EACH S",v,p
What We Know – and Don’t — About the Omicron COVID Variant https://t.co/827QhLvVxY,cs,/
Dutch police arrest couple ‘fleeing’ Covid hotel https://t.co/kG2PCkh9tj,ac,/
"“Due to the pandemic, 760 long days have separated the last BTS show in front of an audience in Seoul on 29 October 2019 and their return in Los Angeles on Saturday”

Their last shows were the for the Magic Shop in Japan in Nov and Dec of 2019.",s,n
"After dipping below 300 last week for the first time in two months, hospitalizations related to an active case of COVID-19 in B.C. are back up to 303 today.
#COVID19BC #bcpoli
https://t.co/wVNJ5dVBeF",cs,n
"Facci called himself the god of science, wow that’s pretty bold from some1 who has being lying and changing goal post since the pandemic. Anyways nobody listen to Facci except deluded follower of church of Facci.",m,n
A trumpian judge. https://t.co/44YBWnAHQR,m,n
"https://t.co/ZqRoA56iQV

USA is such a country of freedom
President can't exercise his power in states if he wants to..",m,n
"Contentious pandemic bill set to pass as independent MP Rod Barton negotiates with the Victorian government.
What a traitorous act of treachery. Hang your head in shame @Rod Barton MP. 😡",m,n
"Kids not at risk of Covid, turn off TV and look at research papers directly. No one u12 has died with covid label. https://t.co/EBCa8EJ2JJ",ac,n
NFL needs to quit scheduling seahawks at Washington on MNF like it has the last 2 meetings in Nov/Dec and I missed last year for covid.  Washington is a place I always travel to to watch Seattle.  No way in hell I can get off 2 days from work this time of yr  sundays 1:00 please https://t.co/0HaLjoV0mc,ac,n
Took me 'a bit' of courage but finally got my second dose of the vaccine today✊ I'm not sure if I'll ever get used to needles😅,v,p
"Fauci claims that he is the ""Voice of Science"",
 he's not He has horribly made so many
mistakes with Covid. Wear Masks, don't wear masks
Social Distance, don't social distance
The horrific little man that thinks he's in charge.
The American People don't like what he did to dogs.",m,n
the new covid variant https://t.co/tkg1GYJ5O5,cs,/
"A person I know said his parents were anti covid vax and when he can he's going to jab himself because of it.

When such rebellious acts like this are now becoming commonplace. It just makes me cringe.",v,p
If this covid crap keeps up ... https://t.co/qekKH6iUVm,ac,n
"Biden Threatens Lockdown Unless People Get Vaccine Amid Omicron Variant,... https://t.co/dlY5Ed0wE5 via @YouTube
Aussie indigenous people are being dragged off to concentration camps. NOT by force? The government says they CANNOT leave their homes to get food. SO, off to prison.",m,n
White House delays vaccine deadline for federal workers https://t.co/navfOYNiR6 →https://t.co/rrpAYQK3uf ~ #world #USA #news,m,/
"Chief Medical Officer Paul Kelly revealed the Omicron cases detected in Australia all have similarities as Health Minister Greg Hunt stressed the nation was ""well-prepared"" for emerging variants with its high vaccination rates.

https://t.co/hKApuH69FI",cs,n
"#Supplychain recognition has increased exponentially after the  #covid onset, global leaders have spoken about it’s need more than ever.
The people have realised it’s importance more than ever and they got to know how difficult is to provide them what they get to use.
#Analytics https://t.co/EqzbT7ntvu",s,n
"You're worried about covid killing you, try living in sin.",ac,n
"... spell it out! We put on masks, hence Covid! We put on masks, whence evil?!

Dial it down a bit (think I saw you outside holy trinity last weekend ...)

The problem of evil is intimately tied up with Jayne's(sp?) Brains ...",m,n
Did Covid Change My Life for the Better? https://t.co/EqHYAYgGgs via @MimiBarbour,ac,p
But this vaccine have my arm rel hurting wth,v,n
"Sometimes, people ask, ""How long do I have to live like this?"" She doesn't have that answer. She tells them: ""This might be a new normal for you and you need to figure out how to build a fulfilling life with how your body and your brain is right now.""
https://t.co/mO8BlvSRhZ",ac,n
Austin denies Oklahoma bid for exception to vaccine mandate https://t.co/ZnwssH8Pih,m,/
"Hey guys, @BernieSanders, a communist, who loves big government, censoring information, packing the supreme court, federalizing elections, and firing people for refusing a leaky vaccine is fighting for Democracy.  Did I get that right? 🤡🤣 #BolshevikBernie https://t.co/sAQwgdCMht",m,n
"During the pandemic, Sandeep Mehta rediscovered something he had lost since moving to the U.S. in 2009: time in the morning to make fresh masala chai. Now, he's created a business selling his homemade concentrate.
https://t.co/LNLj8D9riq",ac,p
"Updated plot 30 Nov 2021: Vic covid cases, hospital, ICU, deaths against the @BurnetInstitute 15 Oct model.

Model did well at predicting timing of case uptick, as well as slope.

Vic continues at low end of range of modeled cases/hosp*/ICU*/deaths.

https://t.co/ZRxvubQQhD
1/ https://t.co/ZFywgp1CzO",cs,n
"Donald Trump stopped travel from several countries into the USA for ""Covid""
The left lost their collective minds. Called it racist and every other ""ist"" known to man, media pushed it like it was their baby on a swing.
Where they at now?
#AreYouAwakeYet?",m,n
"AB Covid Nov 29
.
228 NET today (230 actual )
253 NET Sun (255 actual
325 NET Sat (327 actual cases)
.
4,850 Active cases (-167)
.
5046 Lab Tests past 24 hours
4.60 % Provincial + Rate
.
of cases today:
114 new cases unvax
10 new cases 1 dose vax
106 new cases 2 dose vax",cs,n
World’s first Covid Injection Murder Case against Bill Gates filed in India – The Expose https://t.co/7XrhUdW1hJ,m,n
"We are now naming Covid variant like a metroid evolution now. Alpha, Beta, Gamma, Epsilon, Delta, Omnicron. Next one in my list will be the Omega Covid and Covid Queen. Will probably go to Earth Covid and Dark Covid too at this point. 🤦🏻‍♂️",ac,n
i tested positive for covid TODAY literally hours ago do you really think i’m gonna feel any better /nbh,ac,n
Nice to see a judge that knows the constitution and the limitations of federal bureaucratic  mandates https://t.co/Q9ikwn6KZi,m,p
"Vaccine' is Merriam-Webster's 2021 word of the year. Searches for the word increased 601% over 2020 and 1,048% over 2019. https://t.co/8YCj5dVK75",ac,/
Local Doctors Preparing To Deal With New Omicron COVID-19 Variant https://t.co/1bwgtdLQw6 via @YouTube,cs,/
"Someone needs to stand up to the Authoritarian Left pushing these BS COVID claims to gain &amp; keep power. This is a virus w/ LESS THAN A 1% MORTALITY RATE! But you fucking idiots don’t care. You have a 2% chance of shitting your pants, do we all have to wear diapers like Biden now? https://t.co/DiGUHeUOmA https://t.co/orpm4evdNP",m,n
"Tw// COVID

Jk I probs have (I took a rapid test that came back negative and I'm vaccinated but I feel like shit) so time to quarantine until next Wednesday probs

I have a movie watchlist, but suggest movies for me to watch",cs,/
Reflecting on the past 2 years of pandemic living while repairing my favourite mask. Deeper we go into this dystopian existence.,ac,n
"Donald Trump Jr., World-Renowned Moron, Urges Vaccine Protests as Omicron Poses “Very High Risk” - Vanity Fair https://t.co/6RGK4mFFsa",m,n
Booster vaccine shot acquired ✅,v,p
"“The rest of the world, through the United Nations or the World Health Organisation, should give a large financial prize to #SouthAfrica for its work in sequencing and reporting the new variant.” via @NYTOpinion  https://t.co/x2oL3sp2wl",ac,p
Omicron Covid variant: Over 18s given booster punches and over 12s for a second dose https://t.co/PokZU81z8j,v,p
I thought Joe Biden said he was going to shut down the pandemic. Dudes about to shit down the country,m,n
"Well, got my Covid booster! https://t.co/YgVfplKsD4",v,p
"#Repost @israelunitedinchrist
---
“Covid can only kill the Body it can’t undo God’s plan.” #Plandemic #Psalms83 #Babylon #Witchcraft #Israel #Israelites #IUIC #Leader #Leadership #Tribulation https://t.co/eQrXB3vIpk",ac,n
"Israel investigating 15 potential cases of omicron COVID variant

Suspected cases include several in people who were not recently abroad https://t.co/67BaVLZiaq",cs,n
Benton Harbor Area Schools offering at home covid testing for families and staff #leading4excellence https://t.co/pm7yqIbnbo,m,p
the weirdest thing this pandemic has done to me is give me actually good habits,ac,p
Remember when #conservatives pointed fingers at blue states for being hit hard by COVID. They celebrated our deaths and laughed at us. #NeverForget https://t.co/g9FM13Yedh,ac,n
